Date Heure, GMT+01:00	T B110	T B111	T B113	Trepro	T B103	Tescatt	TB102	Tvest	Tinf	TB105	TB104	Tacceuil
12/02/2015 02:01	20.079	23.232	23.761	22.082	20.865	21.199	20.507	24.291	20.531	23.424	21.366	21.676
12/02/2015 02:06	20.055	23.208	23.761	22.082	20.865	21.199	20.507	24.291	20.531	23.424	21.366	21.676
12/02/2015 02:11	20.055	23.208	23.761	22.082	20.865	21.199	20.507	24.291	20.603	23.424	21.366	21.652
12/02/2015 02:16	20.055	23.208	23.761	22.082	20.865	21.199	20.507	24.291	20.650	23.424	21.366	21.676
12/02/2015 02:21	20.031	23.208	23.761	22.082	20.865	21.175	20.507	24.291	20.698	23.424	21.366	21.652
12/02/2015 02:26	20.031	23.208	23.761	22.082	20.865	21.175	20.507	24.291	20.722	23.400	21.342	21.652
12/02/2015 02:31	20.007	23.208	23.761	22.082	20.865	21.175	20.507	24.291	20.746	23.424	21.366	21.652
12/02/2015 02:36	20.007	23.208	23.761	22.082	20.865	21.175	20.507	24.291	20.770	23.424	21.342	21.652
12/02/2015 02:41	19.984	23.184	23.761	22.082	20.865	21.175	20.507	24.291	20.793	23.400	21.366	21.652
12/02/2015 02:46	19.984	23.184	23.761	22.082	20.865	21.175	20.507	24.291	20.793	23.400	21.366	21.652
12/02/2015 02:51	19.984	23.184	23.761	22.082	20.841	21.175	20.484	24.291	20.770	23.400	21.366	21.628
12/02/2015 02:56	19.984	23.160	23.761	22.082	20.841	21.175	20.484	24.291	20.746	23.400	21.366	21.628
12/02/2015 03:01	19.960	23.160	23.761	22.082	20.841	21.175	20.484	24.291	20.698	23.376	21.366	21.628
12/02/2015 03:06	19.960	23.160	23.761	22.082	20.841	21.175	20.460	24.291	20.674	23.376	21.366	21.628
12/02/2015 03:11	19.960	23.160	23.761	22.082	20.841	21.175	20.460	24.291	20.650	23.376	21.342	21.628
12/02/2015 03:16	19.936	23.136	23.761	22.082	20.841	21.151	20.460	24.291	20.627	23.376	21.342	21.604
12/02/2015 03:21	19.936	23.136	23.737	22.058	20.841	21.151	20.460	24.291	20.603	23.376	21.342	21.628
12/02/2015 03:26	19.912	23.136	23.737	22.058	20.841	21.151	20.436	24.291	20.603	23.376	21.342	21.604
12/02/2015 03:31	19.912	23.136	23.737	22.082	20.841	21.151	20.436	24.291	20.579	23.352	21.342	21.604
12/02/2015 03:36	19.912	23.136	23.737	22.058	20.841	21.127	20.436	24.291	20.555	23.352	21.342	21.604
12/02/2015 03:41	19.888	23.136	23.737	22.058	20.841	21.151	20.436	24.291	20.555	23.352	21.342	21.581
12/02/2015 03:46	19.888	23.136	23.737	22.058	20.841	21.127	20.436	24.291	20.555	23.352	21.342	21.581
12/02/2015 03:51	19.888	23.136	23.737	22.058	20.841	21.127	20.436	24.291	20.531	23.352	21.342	21.604
12/02/2015 03:56	19.888	23.112	23.737	22.058	20.841	21.127	20.412	24.291	20.531	23.352	21.342	21.581
12/02/2015 04:01	19.865	23.112	23.737	22.058	20.841	21.127	20.412	24.291	20.531	23.352	21.342	21.581
12/02/2015 04:06	19.865	23.112	23.737	22.058	20.841	21.127	20.412	24.291	20.531	23.352	21.342	21.581
12/02/2015 04:11	19.865	23.112	23.737	22.058	20.841	21.127	20.412	24.291	20.531	23.328	21.342	21.581
12/02/2015 04:16	19.841	23.112	23.737	22.058	20.841	21.127	20.412	24.291	20.507	23.328	21.342	21.581
12/02/2015 04:21	19.841	23.112	23.713	22.058	20.841	21.127	20.412	24.291	20.507	23.328	21.342	21.557
12/02/2015 04:26	19.841	23.088	23.713	22.058	20.841	21.127	20.412	24.291	20.507	23.328	21.342	21.557
12/02/2015 04:31	19.817	23.088	23.713	22.058	20.841	21.127	20.412	24.291	20.507	23.328	21.342	21.557
12/02/2015 04:36	19.817	23.088	23.713	22.058	20.841	21.127	20.388	24.291	20.507	23.328	21.342	21.557
12/02/2015 04:41	19.817	23.088	23.713	22.058	20.841	21.127	20.388	24.291	20.555	23.328	21.342	21.557
12/02/2015 04:46	19.793	23.064	23.713	22.058	20.841	21.127	20.388	24.291	20.603	23.304	21.342	21.557
12/02/2015 04:51	19.793	23.064	23.713	22.058	20.841	21.127	20.388	24.291	20.650	23.328	21.342	21.557
12/02/2015 04:56	19.793	23.064	23.713	22.058	20.841	21.127	20.388	24.291	20.698	23.304	21.342	21.533
12/02/2015 05:01	19.770	23.064	23.713	22.058	20.841	21.127	20.388	24.291	20.722	23.304	21.342	21.533
12/02/2015 05:06	19.770	23.040	23.713	22.058	20.841	21.127	20.388	24.291	20.746	23.304	21.342	21.533
12/02/2015 05:11	19.770	23.064	23.713	22.058	20.841	21.103	20.365	24.291	20.770	23.304	21.342	21.533
12/02/2015 05:16	19.770	23.040	23.713	22.058	20.841	21.103	20.365	24.291	20.770	23.304	21.342	21.533
12/02/2015 05:21	19.746	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.793	23.280	21.342	21.533
12/02/2015 05:26	19.746	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.746	23.280	21.342	21.533
12/02/2015 05:31	19.746	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.722	23.304	21.342	21.533
12/02/2015 05:36	19.722	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.674	23.280	21.342	21.533
12/02/2015 05:41	19.722	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.650	23.280	21.342	21.533
12/02/2015 05:46	19.722	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.627	23.280	21.342	21.533
12/02/2015 05:51	19.722	23.040	23.713	22.058	20.841	21.103	20.365	24.267	20.603	23.280	21.342	21.509
12/02/2015 05:56	19.698	23.016	23.713	22.058	20.841	21.103	20.365	24.267	20.579	23.280	21.342	21.509
12/02/2015 06:01	19.698	23.016	23.713	22.034	20.841	21.103	20.365	24.267	20.579	23.256	21.342	21.509
12/02/2015 06:06	19.698	23.016	23.689	22.058	20.817	21.103	20.365	24.267	20.555	23.256	21.342	21.509
12/02/2015 06:11	19.674	22.992	23.689	22.034	20.793	21.103	20.341	24.291	20.555	23.256	21.318	21.485
12/02/2015 06:16	19.674	22.992	23.689	22.034	20.770	21.079	20.317	24.291	20.555	23.232	21.294	21.485
12/02/2015 06:21	19.674	22.968	23.665	22.034	20.746	21.079	20.317	24.267	20.555	23.208	21.270	21.461
12/02/2015 06:26	19.674	22.944	23.665	22.034	20.746	21.056	20.317	24.267	20.531	23.208	21.246	21.461
12/02/2015 06:31	19.651	22.944	23.665	22.034	20.746	21.056	20.317	24.267	20.531	23.208	21.246	21.461
12/02/2015 06:36	19.627	22.944	23.641	22.034	20.746	21.056	20.317	24.267	20.531	23.184	21.246	21.437
12/02/2015 06:41	19.627	22.920	23.641	22.034	20.722	21.056	20.317	24.243	20.531	23.184	21.246	21.437
12/02/2015 06:46	19.603	22.920	23.641	22.011	20.722	21.056	20.317	24.243	20.507	23.160	21.223	21.437
12/02/2015 06:51	19.603	22.920	23.617	22.034	20.722	21.056	20.317	24.243	20.507	23.160	21.223	21.437
12/02/2015 06:56	19.603	22.920	23.617	22.011	20.722	21.056	20.317	24.219	20.507	23.160	21.223	21.413
12/02/2015 07:01	19.603	22.896	23.617	22.011	20.722	21.056	20.317	24.195	20.507	23.160	21.223	21.413
12/02/2015 07:06	19.603	22.896	23.617	22.011	20.722	21.056	20.317	24.195	20.507	23.136	21.223	21.413
12/02/2015 07:11	19.579	22.872	23.617	22.011	20.722	21.032	20.317	24.195	20.507	23.136	21.223	21.413
12/02/2015 07:16	19.579	22.872	23.617	22.011	20.722	21.032	20.293	24.195	20.555	23.136	21.223	21.413
12/02/2015 07:21	19.579	22.872	23.617	22.011	20.722	21.032	20.317	24.195	20.627	23.112	21.223	21.390
12/02/2015 07:26	19.555	22.848	23.593	22.011	20.722	21.032	20.293	24.171	20.674	23.112	21.223	21.413
12/02/2015 07:31	19.579	22.848	23.593	22.011	20.722	21.032	20.317	24.171	20.698	23.112	21.223	21.413
12/02/2015 07:36	19.555	22.848	23.593	22.011	20.722	21.032	20.293	24.171	20.722	23.112	21.223	21.413
12/02/2015 07:41	19.555	22.848	23.593	22.011	20.722	21.032	20.293	24.146	20.746	23.112	21.223	21.413
12/02/2015 07:46	19.532	22.848	23.569	21.987	20.722	21.032	20.293	24.146	20.770	23.112	21.223	21.413
12/02/2015 07:51	19.532	22.824	23.569	21.987	20.722	21.032	20.293	24.122	20.793	23.088	21.223	21.413
12/02/2015 07:56	19.532	22.824	23.569	21.987	20.722	21.032	20.317	24.122	20.770	23.088	21.223	21.413
12/02/2015 08:01	19.532	22.824	23.569	21.987	20.722	21.032	20.317	24.122	20.722	23.088	21.223	21.413
12/02/2015 08:06	19.508	22.824	23.569	21.987	20.722	21.032	20.341	24.122	20.698	23.088	21.199	21.390
12/02/2015 08:11	19.508	22.800	23.569	21.987	20.722	21.032	20.341	24.098	20.674	23.088	21.223	21.390
12/02/2015 08:16	19.508	22.800	23.569	21.987	20.722	21.032	20.365	24.098	20.650	23.088	21.223	21.390
12/02/2015 08:21	19.508	22.800	23.569	21.987	20.722	21.032	20.365	24.098	20.627	23.064	21.223	21.390
12/02/2015 08:26	19.508	22.800	23.569	21.987	20.722	21.032	20.365	24.098	20.603	23.064	21.223	21.390
12/02/2015 08:31	19.484	22.800	23.569	21.987	20.722	21.008	20.365	24.098	20.579	23.064	21.223	21.390
12/02/2015 08:36	19.484	22.800	23.569	21.987	20.722	21.032	20.365	24.098	20.555	23.064	21.223	21.390
12/02/2015 08:41	19.484	22.776	23.545	21.987	20.722	21.032	20.484	24.098	20.555	23.064	21.223	21.390
12/02/2015 08:46	19.484	22.776	23.545	21.987	20.793	21.032	20.555	24.098	20.555	23.064	21.223	21.413
12/02/2015 08:51	19.484	22.776	23.545	21.963	20.913	21.032	20.603	24.098	20.531	23.064	21.223	21.413
12/02/2015 08:56	19.460	22.776	23.545	21.963	21.079	21.032	20.698	24.098	20.531	23.064	21.223	21.390
12/02/2015 09:01	19.460	22.776	23.545	21.963	21.270	21.056	20.770	24.098	20.507	23.064	21.223	21.390
12/02/2015 09:06	19.460	22.776	23.545	21.963	21.390	21.079	20.841	24.098	20.507	23.040	21.223	21.413
